date,pol_ru,rank,avg_score
May-07,Путин Владимир Владимирович,1,9.88
May-07,Иванов Сергей Борисович,2,8.13
May-07,Медведев Дмитрий Анатольевич,3,7.88
May-07,Сечин Игорь Иванович,4,7.81
May-07,Сурков Владислав Юрьевич,5,7.38
May-07,Миллер Алексей Борисович,6,7.19
May-07,Кудрин Алексей Леонидович,7,7.06
May-07,Фрадков Михаил Ефимович,8,6.88
May-07,Патрушев Николай Платонович,9,6.81
May-07,Иванов Виктор Петрович,10,6.69
May-07,Алексий II,11,6.63
May-07,Собянин Сергей Семенович,12,6.63
May-07,Абрамович Роман Аркадьевич,13,6.38
May-07,Греф Герман Оскарович,14,6.38
May-07,Якунин Владимир Иванович,15,6.19
May-07,Грызлов Борис Вячеславович,16,6.00
May-07,Лужков Юpий Михайлович,17,6.00
May-07,Миронов Сергей Михайлович,18,6.00
May-07,Алекперов Вагит Юсуфович,19,5.63
May-07,Дерипаска Олег Владимирович,20,5.57
May-07,Чубайс Анатолий Борисович,21,5.56
May-07,Нарышкин Сергей Евгеньевич,22,5.38
May-07,Нургалиев Рашид Гумарович,23,5.38
May-07,Чемезов Сергей Викторович,24,5.38
May-07,Кожин Владимир Игоревич,25,5.31
May-07,Фридман Михаил Маратович,26,5.25
May-07,Матвиенко Валентина Ивановна,27,5.13
May-07,Козак Дмитрий Николаевич,28,5.00
May-07,Громов Алексей Алексеевич,29,4.94
May-07,Зурабов Михаил Юрьевич,30,4.94
May-07,Лавров Сергей Викторович,31,4.94
May-07,Рейман Леонид Дододжонович,32,4.88
May-07,Христенко Виктор Борисович,33,4.88
May-07,Черкесов Виктор Васильевич,34,4.88
May-07,Шаймиев Минтимеp Шаpипович,35,4.88
May-07,Шойгу Сергей Кужугетович,36,4.88
May-07,Шувалов Игорь Иванович,37,4.88
May-07,Евтушенков Владимир Петрович,38,4.81
May-07,Чайка Юрий Яковлевич,39,4.81
May-07,Добродеев Олег Борисович,40,4.69
May-07,Вайншток Семен Михайлович,41,4.56
May-07,Потанин Владимир Олегович,42,4.56
May-07,Гордеев Алексей Васильевич,43,4.50
May-07,Жуков Александр Дмитриевич,44,4.50
May-07,Приходько Сергей Эдуардович,45,4.50
May-07,Сердюков Анатолий Эдуардович,46,4.38
May-07,Эрнст Константин Львович,47,4.38
May-07,Володин Вячеслав Викторович,48,4.31
May-07,Левитин Игорь Евгеньевич,49,4.31
May-07,Мордашов Алексей Александрович,50,4.31
May-07,Игнатьев Сергей Михайлович,51,4.25
May-07,Кириенко Сергей Владиленович,52,4.25
May-07,Авен Петр Олегович,53,4.19
May-07,Жириновский Владимир Вольфович,54,4.13
May-07,Кадыров Рамзан Ахматович,55,4.00
May-07,Волошин Александр Стальевич,56,3.94
May-07,Кирилл (Патриарх Московский и всея Руси),57,3.94
May-07,Костин Андрей Леонидович,58,3.94
May-07,Степашин Сергей Вадимович,59,3.94
May-07,Трутнев Юрий Петрович,60,3.94
May-07,Ткачев Александр Николаевич,61,3.88
May-07,Бельянинов Андрей Юрьевич,62,3.81
May-07,Дворкович Аркадий Владимирович,63,3.75
May-07,Фурсенко Андрей Александрович,64,3.75
May-07,Зюганов Геннадий Андpеевич,65,3.69
May-07,Абрамов Александр Сергеевич,66,3.63
May-07,Громов Борис Всеволодович,67,3.56
May-07,Казьмин Андрей Ильич,68,3.56
May-07,Лебедев Вячеслав Михайлович,69,3.56
May-07,Балуевский Юрий Николаевич,70,3.50
May-07,Иванов Игорь Сергеевич,71,3.50
May-07,Устинов Владимир Васильевич,72,3.50
May-07,Хлопонин Александр Геннадиевич,73,3.50
May-07,Рахимов Муртаза Губайдуллович,74,3.38
May-07,Артемьев Игорь Юрьевич,75,3.31
May-07,Поллыева Джахан Реджеповна,76,3.31
May-07,Полтавченко Георгий Сергеевич,77,3.31
May-07,Чуров Владимир Евгеньевич,78,3.25
May-07,Зубков Виктор Алексеевич,79,3.19
May-07,Зорькин Валерий Дмитриевич,80,3.06
May-07,Латышев Петр Михайлович,81,3.06
May-07,Морозов Олег Викторович,82,3.06
May-07,Резник Владислав Матусович,83,3.06
May-07,Ястржембский Сергей Владимирович,84,3.06
May-07,Клебанов Илья Иосифович,85,3.00
May-07,Плигин Владимир Николаевич,86,2.94
May-07,Пугачев Сергей Викторович,87,2.94
May-07,Алешин Борис Сергеевич,88,2.88
May-07,Васильев Владимир Абдуалиевич,89,2.88
May-07,Коновалов Александр Владимирович,90,2.81
May-07,Шанцев Валерий Павлинович,91,2.81
May-07,Тулеев Амангельды Молдагазыевич,92,2.75
May-07,Чеснаков Алексей Александрович,93,2.75
May-07,Исхаков Камиль Шамильевич,94,2.69
May-07,Бабаков Александр Михайлович,95,2.63
May-07,Вьюгин Олег Вячеславович,96,2.63
May-07,Исаев Андрей Константинович,97,2.63
May-07,Косачев Константин Иосифович,98,2.62
May-07,Пpимаков Евгений Максимович,99,2.56
May-07,Слиска Любовь Константиновна,100,2.56
Jun-07,Путин Владимир Владимирович,1,9.94
Jun-07,Иванов Сергей Борисович,2,8.11
Jun-07,Сечин Игорь Иванович,3,8.06
Jun-07,Медведев Дмитрий Анатольевич,4,7.89
Jun-07,Сурков Владислав Юрьевич,5,7.72
Jun-07,Миллер Алексей Борисович,6,6.78
Jun-07,Фрадков Михаил Ефимович,6,6.78
Jun-07,Кудрин Алексей Леонидович,8,6.72
Jun-07,Иванов Виктор Петрович,9,6.61
Jun-07,Патрушев Николай Платонович,10,6.50
Jun-07,Абрамович Роман Аркадьевич,11,6.39
Jun-07,Алексий II,12,6.33
Jun-07,Собянин Сергей Семенович,12,6.33
Jun-07,Якунин Владимир Иванович,14,6.28
Jun-07,Греф Герман Оскарович,15,6.17
Jun-07,Лужков Юpий Михайлович,15,6.17
Jun-07,Грызлов Борис Вячеславович,17,6.06
Jun-07,Миронов Сергей Михайлович,17,6.06
Jun-07,Нарышкин Сергей Евгеньевич,19,5.78
Jun-07,Чубайс Анатолий Борисович,20,5.72
Jun-07,Дерипаска Олег Владимирович,21,5.67
Jun-07,Алекперов Вагит Юсуфович,22,5.50
Jun-07,Нургалиев Рашид Гумарович,22,5.50
Jun-07,Фридман Михаил Маратович,24,5.28
Jun-07,Чемезов Сергей Викторович,25,5.22
Jun-07,Кожин Владимир Игоревич,26,5.17
Jun-07,Матвиенко Валентина Ивановна,26,5.17
Jun-07,Зурабов Михаил Юрьевич,28,5.11
Jun-07,Козак Дмитрий Николаевич,28,5.11
Jun-07,Громов Алексей Алексеевич,30,5.06
Jun-07,Лавров Сергей Викторович,31,5.00
Jun-07,Христенко Виктор Борисович,31,5.00
Jun-07,Рейман Леонид Дододжонович,33,4.94
Jun-07,Черкесов Виктор Васильевич,33,4.94
Jun-07,Шаймиев Минтимер Шарипович,35,4.89
Jun-07,Шувалов Игорь Иванович,35,4.89
Jun-07,Шойгу Сергей Кужугетович,37,4.83
Jun-07,Добродеев Олег Борисович,38,4.78
Jun-07,Евтушенков Владимир Петрович,38,4.78
Jun-07,Чайка Юрий Яковлевич,38,4.78
Jun-07,Вайншток Семен Михайлович,41,4.72
Jun-07,Потанин Владимир Олегович,41,4.72
Jun-07,Володин Вячеслав Викторович,43,4.67
Jun-07,Жуков Александр Дмитриевич,43,4.67
Jun-07,Мордашов Алексей Александрович,45,4.56
Jun-07,Гордеев Алексей Васильевич,46,4.50
Jun-07,Богданчиков Сергей Михайлович,47,4.44
Jun-07,Приходько Сергей Эдуардович,47,4.44
Jun-07,Сердюков Анатолий Эдуардович,47,4.44
Jun-07,Эрнст Константин Львович,50,4.39
Jun-07,Левитин Игорь Евгеньевич,51,4.33
Jun-07,Жириновский Владимир Вольфович,52,4.28
Jun-07,Авен Петр Олегович,53,4.22
Jun-07,Зюганов Геннадий Андреевич,53,4.22
Jun-07,Игнатьев Сергей Михайлович,53,4.22
Jun-07,Кириенко Сергей Владиленович,53,4.22
