pol-ru,pol-en
Eвкуров Юнус-Бек Баматгиреевич,Yevkurov Yunus-bek Bamatgireevich
Абрамов Александр Сергеевич,Abramov Aleksandr Sergeevich
Абрамович Роман Аркадьевич,Abramovich Roman Arkadyevich
Абрамченко Виктория Валериевна,Abramchenko Victoria Valeriyevna
Абызов Михаил Анатольевич,Abyzov Mikhail Anatolyevich
Авдеев Александр Алексеевич,Avdeev Aleksandr Alekseevich
Авен Петр Олегович,Aven Pyotr Olegovich
Акимов Максим Алексеевич,Akimov Maksim Alekseevich
Аксенов Сергей Валерьевич,Aksyonov Sergei Valeryevich
Аксёнов Сергей Валерьевич,Aksyonov Sergei Valeryevich
Алекперов Вагит Юсуфович,Alekperov Vagit Yusufovich
Алексий II,Aleksy II
Алешин Борис Сергеевич,Aleshin Boris Sergeevich
Артемьев Игорь Юрьевич,Artemyev Igor Yuryevich
Артюхин Роман Анатольевич,Artyukhin Roman Anatolyevich
Артюхин Роман Евгеньевич,Artyukhin Roman Yevgenyevich
Бабаков Александр Михайлович,Babakov Aleksandr Mikhailovich
Бабич Михаил Викторович,Babich Mikhail Viktorovich
Балуевский Юрий Николаевич,Baluevsky Yuri Nikolaevich
Басаргин Виктор Федорович,Basargin Viktor Fyodorovich
Бастрыкин Александр Иванович,Bastrykin Aleksandr Ivanovich
Баталина Ольга Юрьевна,Batalina Olga Yurevna
Беглов Александр Дмитриевич,Beglov Aleksandr Dimitrievich
Белозеров Олег Валентинович,Belozerov Oleg Valentinovich
Белоусов Андрей Рэмович,Belousov Andrei Removich
Бельянинов Андрей Юрьевич,Belyaninov Andrei Yuryevich
Богданчиков Сергей Михайлович,Bogdanchikov Sergei Mikhailovich
Боос Георгий Валентинович,Boos Georgy Valentinovich
Борисов Юрий Иванович,Borisov Yuri Ivanovich
Бортников Александр Васильевич,Bortnikov Aleksandr Vasilyevich
Бочаров Андрей Иванович,Bocharov Andrei Ivanovich
Бречалов Александр Владимирович,Brechalov Aleksandr Vladimirovich
Брычева Лариса Игоревна,Brycheva Larisa Igorevna
Вайно Антон Эдуардович,Vaino Anton Eduardovich
Вайншток Семен Михайлович,Vainshtok Semyon Mikhailovich
Васильев Владимир Абдуалиевич,Vasilyev Vladimir Abdualievich
Васильева Ольга Юрьевна,Vasilyeva Olga Yurevna
Вексельберг Виктор Феликсович,Vekselberg Viktor Feliksovich
Винниченко Николай Александрович,Vinnichenko Nikolai Aleksandrovich
Володин Вячеслав Викторович,Volodin Vyacheslav Viktorovich
Волошин Александр Стальевич,Voloshin Aleksandr Stalyevich
Воробьев Андрей Юрьевич,Vorobyev Andrei Yuryevich
Воронова Татьяна Геннадьевна,Voronova Tatyana Gennadyevna
Вуколов Всеволод Львович,Vukolov Vsevolod Lvovich
Вьюгин Олег Вячеславович,Vyugin Oleg Vyacheslavovich
Галушка Александр Анатольевич,Galushka Aleksandr Anatolyevich
Герасимов Валерий Васильевич,Gerasimov Valery Vasilyevich
Глазьев Сергей Юрьевич,Glazyev Sergei Yuryevich
Говорун Олег Маркович,Govorun Oleg Markovich
Голикова Татьяна Алексеевна,Golikova Tatyana Alekseevna
Голикова Татьяна Алексеевна,Golikova Tatyana Alekseevna
Голикова Татьяна Алексеевна,Golikova Tatyana Alekseevna
Голикова Татьяна Алексеевна,Golikova Tatyana Alekseevna
Голодец Ольга Юрьевна,Golodets Olga Yurevna
Гордеев Алексей Васильевич,Gordeev Aleksei Vasilyevich
Греф Герман Оскарович,Gref German Oskarovich
Григоренко Дмитрий Юрьевич,Grigorenko Dmitry Yuryevich
Громов Алексей Алексеевич,Gromov Aleksei Alekseevich
Громов Борис Всеволодович,Gromov Boris Vsevolodovich
Грудинин Павел Николаевич,Grudinin Pavel Nikolaevich
Грызлов Борис Вячеславович,Gryzlov Boris Vyacheslavovich
Гурьев Андрей Григорьевич,Gurev Andrei Grigoryevich
Дворкович Аркадий Владимирович,Dvorkovich Arkady Vladimirovich
Дергунова Ольга Константиновна,Dergunova Olga Konstantinovna
Дерипаска Олег Владимирович,Deripaska Oleg Vladimirovich
Дитрих Евгений Иванович,Dietrich Yevgeny Ivanovich
Дмитриев Владимир Александрович,Dimitriev Vladimir Aleksandrovich
Добродеев Олег Борисович,Dobrodeev Oleg Borisovich
Донской Сергей Ефимович,Donskoy Sergei Efimovich
Дюмин Алексей Геннадьевич,Dyumin Aleksei Gennadyevich
Евкуров Юнус-Бек Баматгиреевич,Yevkurov Yunus-bek Bamatgireevich
Евтушенков Владимир Петрович,Yevtushenkov Vladimir Petrovich
Железняк Сергей Владимирович,Zheleznyak Sergei Vladimirovich
Жириновский Владимир Вольфович,Zhirinovsky Vladimir Volfovich
Жуков Александр Дмитриевич,Zhukov Aleksandr Dmitriyevich
Зеленин Дмитрий Вадимович,Zelenin Dmitry Vadimovich
Земский Алексей Владимирович,Zemsky Aleksei Vladimirovich
Зиничев Евгений Николаевич,Zinichev Yevgeny Nikolaevich
